Gene symbol	TCGA-05-4244-01	TCGA-05-4249-01	TCGA-05-4250-01	TCGA-05-4382-01	TCGA-05-4384-01
A1BG	26.0302	120.1349	50.8597	145.9037	127.3671
A1CF	0	0.322	0	0	0
A2BP1	1.7454	1.6098	0	0	0
A2LD1	135.5022	89.0629	151.1332	112.0685	87.5748
A2ML1	0.3491	1.6098	0	4.7861	0
A2M	9844.7858	25712.6617	16943.6359	23326.2727	48314.5571
A4GALT	130.9015	578.5562	356.4619	554.4677	152.7184
A4GNT	1.0472	0.6439	0.9948	2.1537	1.8326
AAA1	0	0.322	1.3264	1.4358	0
AAAS	651.0167	604.3128	588.5766	608.3112	665.8522
AACSL	0.6981	0	0.6632	2.6323	3.6652
AACS	803.5605	999.9976	754.0413	1079.9796	709.8351
AADACL2	0.6981	0	0	0	0
AADACL3	0	0	0	0	0
AADACL4	0	0.322	0	0	0
AADAC	3.4907	266.9021	26.1958	3.5896	34.8198
AADAT	53.0587	185.4471	81.9033	46.6643	100.7941
AAGAB	988.2189	904.3764	1148.3047	1005.556	1103.8485
AAK1	1038.136	839.6631	571.6654	834.6929	1042.7611
AAMP	1915.3504	2238.8871	2808.9198	2470.0975	2535.1252
AANAT	0	0.322	0.6632	0.7179	0
AARS2	516.9282	319.3135	411.8246	409.179	401.9548
AARSD1	472.2925	500.6427	625.715	456.353	403.7874
AARS	3054.7168	2826.78	3553.6765	4093.0582	1674.4044
AASDHPPT	465.6602	966.5141	897.9524	748.3041	960.8308
AASDH	370.3639	226.3356	233.1095	218.9633	246.7929
AASS	270.5297	372.8259	198.9555	221.8349	999.3891
AATF	1837.1586	1493.5572	2418.9671	1504.7445	990.8369
AATK	66.3234	168.4284	37.8015	53.6041	595.7605
ABAT	431.8003	478.7496	91.8511	242.1758	714.7221
ABCA10	8.7268	6.7611	2.3211	4.5468	10.9957
ABCA11P	41.9094	122.3081	146.8988	35.7664	106.8357
ABCA12	484.1609	140.3731	778.2475	180.6746	185.0947
ABCA13	311.371	357.6939	22.2167	424.047	140.5009
ABCA17P	9.774	3.8635	0.6632	94.5251	7.9414
ABCA1	1527.0303	1572.3819	1980.5786	1804.5543	1784.9725
ABCA2	1399.075	839.3412	429.4123	1303.0111	904.7037
ABCA3	6593.5946	6713.7636	1127.0828	1551.6481	8680.5131
ABCA4	1939.0872	33.8055	99.1461	28.7165	518.6316
ABCA5	188.1491	113.0068	123.0208	159.8552	255.956
ABCA6	59.6911	106.5677	77.261	66.7659	117.2877
ABCA7	2541.583	1012.2319	193.9816	484.1123	521.686
ABCA8	119.3821	55.3766	36.4752	6.9398	251.069
ABCA9	22.3405	42.1763	21.2219	15.0762	75.1374
ABCB10	741.426	879.5858	707.6183	402.7489	462.4313
ABCB11	0	0	0	1.1965	4.2761
ABCB1	10.8212	20.2833	83.5613	23.6911	62.92
ABCB4	4.1888	13.5222	20.8903	31.5881	258.3995
ABCB5	0	2.8976	0.6632	0.4786	4.887
ABCB6	515.4167	251.9505	281.5883	700.1633	1105.1436
ABCB7	370.3639	353.8304	506.0101	385.7583	384.8503
ABCB8	565.8434	358.9817	489.7621	644.9247	883.934
ABCB9	575.8338	295.9233	313.3682	117.0843	99.2547
ABCC10	812.2873	629.7474	534.1955	684.4099	818.5706
ABCC11	0.6981	0.9659	5.9687	2.1537	4.887
ABCC12	3.8398	2.2537	0	0	0
ABCC13	1.0472	0	3.3159	0.2393	3.6652
ABCC1	1354.743	2201.2181	1168.2003	2022.5987	2345.1436
ABCC2	4.887	7.405	22.2167	12.4438	381.1851
ABCC3	12781.5691	9754.6448	6252.1761	5053.6251	9602.3213
ABCC4	354.3067	3551.8266	638.3155	800.951	1209.5296
ABCC5	798.6735	758.53	360.7726	917.9707	794.1356
ABCC6P1	66.3234	8.3709	50.0705	16.0334	30.5437
ABCC6P2	113.797	19.6394	36.4752	42.3568	39.0959
ABCC6	459.0278	86.2844	240.4045	184.0249	646.9151
ABCC8	0	1.9317	0.9948	0.2393	6.1087
ABCC9	177.3279	183.5153	304.7335	264.9097	433.7202
ABCD1	404.5728	239.5358	284.5063	693.2641	463.653
ABCD2	9.0758	14.81	20.8903	25.6055	13.4392
ABCD3	1936.2946	1508.0453	884.3571	1388.2034	1739.7679
ABCD4	611.5717	808.1114	645.279	631.763	513.1338
ABCE1	1090.4966	1245.3286	2229.6278	1182.1625	1379.3525
ABCF1	1642.0281	2056.3376	1526.6517	1994.1215	1855.223
ABCF2	1403.6129	986.7974	1539.2523	1321.9161	1223.5797
ABCF3	967.9728	855.761	924.8114	1025.8969	1240.0733
ABCG1	632.1669	1168.059	737.1301	857.4268	623.7019
ABCG2	97.3907	65.3572	40.1227	29.913	133.7813
ABCG4	9.0758	1.9317	3.3159	1.6751	5.4979
ABCG5	2.0944	0.9659	0.6632	0.7179	0.6109
ABCG8	0.3491	0	0	0	0.6109
ABHD10	450.6501	489.6962	725.5243	604.4823	406.2309
ABHD11	935.8583	282.356	1067.3962	1139.8057	1216.8601
ABHD12B	8.7268	2.2537	0.6632	1.6751	1.8326
ABHD12	1231.8701	1616.2228	1733.2339	2454.0641	1163.1032
ABHD13	496.0293	563.4243	438.3652	719.5876	447.1594
ABHD14A	254.8215	261.1198	153.1957	181.7994	254.1234
ABHD14B	1134.8285	1332.5789	1895.051	1215.1865	1368.9676
ABHD15	519.068	280.7463	556.4122	637.7456	486.8662
ABHD1	30.0201	0.6439	10.2794	2.8716	21.9914
ABHD2	4364.4297	4848.9902	3191.9091	6036.2079	11206.4753
ABHD3	528.1438	348.0352	421.1224	501.8208	405.0092
ABHD4	951.9155	905.9862	835.2814	740.8857	1640.1955
ABHD5	663.5832	707.3389	760.6731	596.5852	580.3299
ABHD6	207.697	194.4619	152.2009	178.0423	172.8772
ABHD8	173.8372	350.9328	180.7179	309.181	180.8186
ABI1	1710.1841	2116.0026	1850.9293	2389.6601	1534.5144
ABI2	971.1144	1023.1785	1229.8765	1256.8254	934.0257
ABI3BP	371.7602	454.2809	131.9738	256.5341	513.7447
ABI3	239.4624	430.7781	340.5455	369.4856	211.9731
ABL1	1105.5066	2180.2909	1098.8975	2076.4421	2015.8827
ABL2	1441.3125	1272.6949	1231.5344	975.4037	1032.9872
ABLIM1	1534.1653	1767.5424	2272.7348	2239.1689	6469.1509
ABLIM2	50.6152	89.8259	70.6292	62.937	53.7569
ABLIM3	242.9531	91.4357	1451.3803	237.8683	345.7544
ABO	204.2063	99.1627	1.9896	112.2336	571.1668
ABP1	8.0286	151.3197	1740.5289	162.7268	836.8968
ABRA	0.3491	0.6439	0	0.7179	0.6109
ABR	1607.8192	3807.7822	3198.541	3342.6004	3361.0263
ABT1	730.2557	867.9953	870.0986	724.8523	712.8894
ABTB1	656.2527	518.0284	588.245	519.7686	648.7477
ABTB2	653.8092	242.7554	138.2741	292.1904	208.3079
ACAA1	1352.9976	1118.1557	792.8376	732.7493	2200.3665
ACAA2	1696.134	1763.035	1233.524	1582.279	498.4728
ACACA	2165.634	2546.9996	1538.2575	1972.3448	2513.1338
ACACB	229.3394	214.7451	129.3211	223.9887	406.8418
ACAD10	557.8148	437.8611	374.0363	453.2421	777.0312
ACAD11	362.6844	124.2238	211.178	303.9019	345.1436
ACAD8	281.0018	1514.8064	530.2164	1587.0651	1191.8143
ACAD9	889.8333	532.5647	1006.791	739.201	901.0385
ACADL	12.2175	6.4391	22.8799	4.3075	111.7899
ACADM	959.246	632.001	636.9891	942.8584	1689.6762
ACADSB	2437.56	1063.745	421.7856	346.5124	2334.1478
ACADS	1009.8612	975.2069	506.0101	576.4837	695.1741
ACADVL	5050.322	3325.4717	3485.0369	4125.3403	7395.2169
ACAN	39.794	9.0148	7.9582	70.1161	60.4765
ACAP1	150.1004	246.9408	223.1617	351.0592	105.0703
ACAP2	940.3962	934.9623	986.4876	1270.9443	1138.6683
ACAP3	333.5125	710.4587	326.3003	852.32	1162.7062
ACAT1	329.8717	863.166	799.4695	687.2815	1326.2065
ACAT2	672.097	392.7421	286.3003	542.5576	448.9493
ACBD3	3016.6681	4631.9914	2417.9723	1518.3848	1852.1686
ACBD4	322.8903	194.1399	529.2216	300.8053	333.537
ACBD5	579.4572	1312.6176	990.7983	976.8395	799.6335
ACBD6	552.2297	521.2479	617.0936	554.9463	389.7373
ACBD7	23.3877	19.9613	63.9973	6.9398	9.1631
ACCN1	1.0472	1.6098	1.9896	0.7179	1.2217
ACCN2	67.3706	202.8327	80.2454	46.6643	16.4936
ACCN3	64.229	7.083	5.3055	12.4438	21.9914
ACCN4	1.3963	4.8294	1.3264	7.897	1.2217
ACCN5	0	0	0	0.2393	0.6109
ACCSL	0	0	0	0	0
ACCS	617.855	439.7929	142.2532	158.18	495.4184
ACD	397.9405	235.3504	471.5245	445.345	262.0648
ACE2	4.1888	12.8783	14.2585	667.4193	411.1179
ACER1	0	0	0.6632	0	0.6109
ACER2	47.4736	84.3527	29.5117	89.0211	64.7526
ACER3	412.6014	381.5187	398.2426	613.0972	406.8418
ACE	1155.4237	923.3719	1149.9627	871.785	1962.1258
ACHE	1481.4556	430.7781	27.5222	84.2351	36.6524
ACIN1	2969.1945	3572.4318	1918.2625	2361.2141	3345.1436
ACLY	4670.9137	4961.6751	7372.627	5818.2018	3215.0275
ACMSD	73.6539	0.9659	35.1488	1.9144	20.1588
ACN9	281.7	216.9988	273.8954	220.3991	201.5883
ACO1	2985.6008	2085.6357	1036.8897	1564.3312	1605.9866
ACO2	1722.7262	2784.0081	1864.1764	3341.5211	2416.4264
ACOT11	227.1577	112.1343	304.8562	542.7155	353.6408
ACOT12	0	0	0	0.4786	0
ACOT13	683.7735	298.0514	619.0235	589.186	896.4142
ACOT1	483.1137	335.4789	349.8301	388.6299	260.2321
ACOT2	302.9933	233.7406	319.3236	325.9323	140.5009
ACOT4	256.2178	54.7326	170.7701	250.7908	83.6897
ACOT6	1.7454	0	0.6632	2.6323	1.8326
ACOT7	345.929	447.1979	865.7879	663.3511	362.248
ACOT8	407.7947	344.7545	429.4388	348.7332	425.3635
ACOT9	602.1468	479.7155	1020.9732	829.1889	585.8277
ACOX1	1673.2385	3264.4062	1828.8618	3423.6671	1903.482
ACOX2	327.4282	336.4448	177.402	126.3526	481.9792
ACOX3	237.7171	440.7588	209.898	325.9323	633.4759
